ID,Start time,Completion time,Email,Name,Total points,Quiz feedback,Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Points - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Feedback - Which of the following is true about your experience with TeamUp! in tutorial?  (please select all that apply),Do you have any additional feedback about TeamUp! that you would like to share?,Points - Do you have any additional feedback about TeamUp! that you would like to share?,Feedback - Do you have any additional feedback about TeamUp! that you would like to share?,Do you read the weekly newsletter?,Points - Do you read the weekly newsletter?,Feedback - Do you read the weekly newsletter?,Which of the following is true for you about the newsletter? (choose as many options as apply),Points - Which of the following is true for you about the newsletter? (choose as many options as apply),Feedback - Which of the following is true for you about the newsletter? (choose as many options as apply),Any other feedback about the newsletter?,Points - Any other feedback about the newsletter?,Feedback - Any other feedback about the newsletter?,Why not? (you can select more than one response),Points - Why not? (you can select more than one response),Feedback - Why not? (you can select more than one response),Anything else you would like to share about the newsletter?,Points - Anything else you would like to share about the newsletter?,Feedback - Anything else you would like to share about the newsletter?,Did you attend the Study Skills workshop or watch the recording?,Points - Did you attend the Study Skills workshop or watch the recording?,Feedback - Did you attend the Study Skills workshop or watch the recording?,How useful did you find the Study Skills workshop?,Points - How useful did you find the Study Skills workshop?,Feedback - How useful did you find the Study Skills workshop?,Any other feedback about the Study Skills workshop?,Points - Any other feedback about the Study Skills workshop?,Feedback - Any other feedback about the Study Skills workshop?,Did you attend the Test #1 Debrief session or watch the recording?,Points - Did you attend the Test #1 Debrief session or watch the recording?,Feedback - Did you attend the Test #1 Debrief session or watch the recording?,How useful did you find the Test #1 Debrief session?,Points - How useful did you find the Test #1 Debrief session?,Feedback - How useful did you find the Test #1 Debrief session?,Any other feedback about the Test #1 Debrief session?,Points - Any other feedback about the Test #1 Debrief session?,Feedback - Any other feedback about the Test #1 Debrief session?,Anything else you would like to share with the CHM 135 teaching team?,Points - Anything else you would like to share with the CHM 135 teaching team?,Feedback - Anything else you would like to share with the CHM 135 teaching team?,Do you feel Lab #1 increased your confidence using Excel?,Points - Do you feel Lab #1 increased your confidence using Excel?,Feedback - Do you feel Lab #1 increased your confidence using Excel?,Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Points - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Feedback - Do you feel Lab #1 increased your confidence analyzing data (e.g. interpreting trendlines and plots)?,Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Points - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Feedback - Did the experience using Excel in Lab 1 help you to complete the necessary Excel calculations and graphs for the other CHM135 labs?,Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Points - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.,Feedback - Any additional feedback on Lab 1 that you would like the teaching team to know? Both positive feedback and constructive criticism are welcome.
160,11-5-21 12:37:00,11-5-21 12:38:09,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"Didn't seem useful
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,Not really,,,Not really,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
161,11-5-21 12:38:17,11-5-21 12:39:27,anonymous,,,,"It has let me get to know some of my classmates.
;I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the tips from the teaching team.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
162,11-5-21 12:38:41,11-5-21 12:44:17,anonymous,,,,"I like working through problems with my peers.
;I find the time allocated to TeamUp! too short.;I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,"I wish there was another way to administer the tests. I find that I am stressed only about time and don’t necessarily have time to apply what I have learned and studied. Additionally, it is difficult to do well in a course that is mostly testing with multiple choice, because if you make a small mistake on one question you can lose 1% of your final grade just from that small mistake.",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
163,11-5-21 12:44:36,11-5-21 12:46:24,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find the time allocated to TeamUp! too short.;It has let me get to know some of my classmates.
;I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the advice from former students.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
164,11-5-21 12:46:44,11-5-21 12:47:31,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
165,11-5-21 12:50:01,11-5-21 12:53:02,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the discussion board links.
;I like the tips from the teaching team.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
166,11-5-21 12:58:12,11-5-21 12:58:53,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
167,11-5-21 12:56:23,11-5-21 12:59:13,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,The Excel component of Lab1 also helped me with an assignment of MAT135! Thanks a million,,
168,11-5-21 13:00:46,11-5-21 13:01:55,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
169,11-5-21 13:02:16,11-5-21 13:03:34,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
170,11-5-21 13:02:07,11-5-21 13:05:19,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I find the time allocated to TeamUp! too long.
;",,,i only say the time allocated is too long because on the tests we have barely any time per question so it sets us up for unreasonable expectations,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,"I do not feel like the tests are appropriate, the questions are far too difficult and take too much time for the amount of time given, an extra 15 minutes would benefit us all greatly. ",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
171,11-5-21 13:05:53,11-5-21 13:07:08,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
172,11-5-21 13:06:01,11-5-21 13:07:32,anonymous,,,,"I find it useful to see past test questions.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Neutral,,,,,,,,,It left me more confused then when I started,,,It left me more confused then when I started,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
173,11-5-21 13:06:44,11-5-21 13:07:54,anonymous,,,,"I find the time allocated to TeamUp! too long.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,,,,Not really,,,Not really,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
174,11-5-21 13:08:13,11-5-21 13:09:13,anonymous,,,,"I like working through problems with my peers.
;It has let me get to know some of my classmates.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Neutral,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
175,11-5-21 13:08:17,11-5-21 13:09:26,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
176,11-5-21 13:08:19,11-5-21 13:14:13,anonymous,,,,"I find the time allocated to TeamUp! too short.;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;",,,It is frustrating when the group decides on an answer you don't agree on and if it is wrong you have to get it wrong too. I would rather we all get to choose an answer ourselves while working together on it.,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the course.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
177,11-5-21 13:12:18,11-5-21 13:14:27,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,Other,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
178,11-5-21 13:09:20,11-5-21 13:14:28,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too long.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,Yes,,,Neutral,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
179,11-5-21 13:12:52,11-5-21 13:14:29,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Extremely useful,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
180,11-5-21 13:12:32,11-5-21 13:14:31,anonymous,,,,"I like working through problems with my peers.
;",,,Allow students to complete TeamUP outside of the allotted time.,,,"At least some of the time
",,,"I like the pictures!
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;I like the information about the department (the last thing in the newsletter)
;I like the weekly reminders.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,Including explicit deadlines at the beginning of the newsletter.,,,,,,,,,Yes,,,Somewhat useful,,,Have more frequent sessions!,,,Yes,,,Extremely useful,,,"Offer a recording (I have class during the Test 2 debrief session, unfortunately).",,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
181,11-5-21 13:14:44,11-5-21 13:18:16,anonymous,,,,"I find it useful to see past test questions.
;",,,"Maybe let everyone submit individually. If the driver has technical issues, it could pose a risk to the grades of multiple people. This has not happened to me, but I am still concerned about the possibility.",,,"At least some of the time
",,,,,,I just skim it in case there is important information.,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, but I was already quite confident",,,Not really,,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
182,11-5-21 13:17:10,11-5-21 13:19:25,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the pictures!
;I like the tips from the teaching team.
;I like the discussion board links.
;I like the advice from former students.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
183,11-5-21 13:05:40,11-5-21 13:19:52,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;It has let me get to know some of my classmates.
;",,,,,,No,,,,,,,,,"Too long
",,,,,,Yes,,,Neutral,,,,,,Yes,,,Neutral,,,,,,,,,"It was good practice, but I didn’t learn anything new",,,Not really,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
184,11-5-21 13:18:17,11-5-21 13:21:03,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
185,11-5-21 13:19:08,11-5-21 13:21:31,anonymous,,,,"I find it useful to see past test questions.
;",,,No,,,"At least some of the time
",,,"The newsletter makes me feel more connected to the course.
;",,,No,,,,,,,,,No,,,,,,,,,No,,,,,,,,,No,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,No,,
186,11-5-21 12:07:28,11-5-21 13:21:31,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;I find the time allocated to TeamUp! too short.;",,,Sometimes it is very hard to go over questions and the TeamUp! in the limited time of the tutorial.,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the tips from the teaching team.
;I like the advice from former students.
;The newsletter makes me feel more connected to the teaching team.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,It left me more confused then when I started,,,"It was good practice, but I didn’t learn anything new",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,It was very difficult to do as someone who had no experience with excel.,,
187,11-5-21 13:22:55,11-5-21 13:23:57,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;It has let me get to know some of my classmates.
;",,,I really like it! I find it super useful and engaging,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,It left me more confused then when I started,,,It left me more confused then when I started,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
188,11-5-21 13:23:20,11-5-21 13:26:51,anonymous,,,,"I find it useful to see past test questions.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;",,,I find the value I get out of team up really depends on whether the other people are participating so it varies week by week. Oftentimes I find I'm just doing the question by myself,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the tips from the teaching team.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Somewhat useful,,,The test taking strategies really helped me ,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,The how to excel worksheet was extremely helpful to me,,
189,11-5-21 13:23:38,11-5-21 13:29:05,anonymous,,,,"I find the time allocated to TeamUp! too long.
;It is hard for me to participate because I can't turn on my camera or unmute.
;",,,I personally think that the graded aspect of TeamUp makes it more stressful (although I can see how this would incentivize participation in tutorials). ,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,"I would say not to worry too much if the class average is low, because I think that (this is speaking from personal experience) it is possible to do well if you actually put the time in to study and learn the material. That is my goal for the next test! ",,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,"I can recall that my TA went through the lab really quickly, but then again it is hard to follow along when switching back and forth between Zoom and Excel all the time. The recorded Lab 1 session was extremely helpful though! The TA took the time to explain every aspect of the lab which was very nice (plus I could pause it at any time). ",,
190,11-5-21 13:26:25,11-5-21 13:30:22,anonymous,,,,"I like working through problems with my peers.
;It's frustrating because other people in my group don't turn on their camera and/or unmute.
;I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Neutral,,,,,,"I was very disappointed by the fact that there were no in-person activities for this course at all. For BIO120, we had field trips where we could meet our classmates and interact with them in person. I wish we had such meet and greets for CHM135 as well.",,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,I wish the labs were in person. I miss the human element of learning.,,
191,11-5-21 11:26:40,11-5-21 13:31:42,anonymous,,,,"It has let me get to know some of my classmates.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Somewhat useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
192,11-5-21 11:28:23,11-5-21 13:33:46,anonymous,,,,"It's frustrating because other people in my group don't turn on their camera and/or unmute.
;It has let me get to know some of my classmates.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too short.;",,,,,,"At least some of the time
",,,,,,,,,,,,,,,Yes,,,Neutral,,,,,,Yes,,,Neutral,,,,,,"Please consider that the pandemic has hit families hard. Not everyone is on their phones enjoying. Not everyone was born into this privilege. Not everyone is rich. Not everyone has free time. People might have to work to support their families. I have worked so hard but the questions are too hard with not enough time. I have cried everyday and not one day have my mental health been stable. I am a very studious students and just because part of the class did better on the test doesn't mean everyone learn the same way. You say to take care of mental health but where do I get the time. I am either studying, working to support my family or crying over this. UofT didn't teach me to dream bigger, it taught me to dream smaller and only the smartest people will make it out, and I am not smart. I have to work hard to get good grades and I have always worked hard but UoFT don't want hard workers, they want smart people. I regret my decisions to UoFT everyday but UoFT is not going to stop me from going to med school because you haven't met my God yet. 

Please reconsider this for next year, I wouldn't want anyone to go through what I go through. I am saying this in the nicest and calmest way possible for you to get a glimpse into the life of students. I do not have a pHD in Chem, so it will naturally take more time for me to complete the questions than it would for you. 

Thanks",,,Not really,,,Not really,,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
193,11-5-21 13:37:52,11-5-21 13:39:17,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
194,11-5-21 13:37:36,11-5-21 13:39:27,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the advice from former students.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
195,11-5-21 13:38:00,11-5-21 13:39:34,anonymous,,,,"I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the weekly reminders.
;The newsletter makes me feel more connected to the teaching team.
;The newsletter makes me feel more connected to the course.
;",,,,,,,,,,,,Yes,,,Neutral,,,,,,Yes,,,Extremely useful,,,,,,,,,"Yes, but I was already quite confident",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 was helpful but I was already quite comfortable with Excel",,,,,
196,11-5-21 13:37:58,11-5-21 13:40:49,anonymous,,,,"I find it useful to see past test questions.
;I like working through problems with my peers.
;I find the time allocated to TeamUp! too long.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,Please give out assignment packages for each u items. It’s much easier to keep up with as we have a lot of work to do on other classes,,,"Yes, I feel much more confident using Excel",,,It left me more confused then when I started,,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
197,11-5-21 13:43:34,11-5-21 13:44:56,anonymous,,,,"I find it useful to see past test questions.
;",,,Nope,,,"At least some of the time
",,,"I like the weekly reminders.
;I like the information about the department (the last thing in the newsletter)
;",,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,It left me more confused then when I started,,,It left me more confused then when I started,,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,,,
198,11-5-21 13:40:09,11-5-21 13:45:35,anonymous,,,,"I find it useful to see past test questions.
;",,,N/A,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;I like the discussion board links.
;I like the information about the department (the last thing in the newsletter)
;The newsletter makes me feel more connected to the course.
;",,,N/A,,,,,,,,,Yes,,,Neutral,,,N/A,,,Yes,,,Extremely useful,,,N/A,,,"I found the instructions for Lab 4 to be a bit confusing which made completing the lab and the pre-lab quiz somewhat difficult since we had not learned about titration in class yet. Otherwise, I think the course is well-taught and run!",,,"Yes, I feel much more confident using Excel",,,"Yes, but I was already quite confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,N/A,,
199,11-5-21 13:50:59,11-5-21 13:52:06,anonymous,,,,"I find it useful to see past test questions.
;It is hard for me to participate because I can't turn on my camera or unmute.
;",,,NA,,,"At least some of the time
",,,"I like the pictures!
;I like the weekly reminders.
;",,,NA,,,,,,,,,No,,,,,,,,,Yes,,,Extremely useful,,,NA,,,NA,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,NA,,
200,11-5-21 13:44:42,11-5-21 13:53:46,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,"At least some of the time
",,,"I like the pictures!
;I like the advice from former students.
;",,,,,,,,,,,,Yes,,,Somewhat useful,,,,,,Yes,,,Extremely useful,,,,,,It would be very helpful to go over practice test questions in a video and give a general idea of how to solve them after the practice test is taken up because there is not enough time to have all of our questions addressed in the online tutoring sessions.,,,"It was good practice, but I didn’t learn anything new",,,"It was good practice, but I didn’t learn anything new",,,"No, I don't feel the Excel component of Lab 1 helped me complete the Excel components of the other CHM135 labs",,,"Doing a lab based on information we organize from excel is no different than giving us a graph and a table and asking us to identify information, it just takes longer to organize it on excel. I wish we had recordings of actual labs instead of theoretical data sets so the labs could be more engaging and realistic.",,
201,11-5-21 13:51:12,11-5-21 13:54:02,anonymous,,,,"I like working through problems with my peers.
;I find it useful to see past test questions.
;",,,,,,No,,,,,,,,,"I am overwhelmed with other things.
",,,,,,No,,,,,,,,,No,,,,,,,,,,,,"Yes, I feel much more confident using Excel",,,"Yes, I feel more confident",,,"Yes, I feel the Excel component of Lab 1 significantly helped me complete the other CHM135 labs more efficiently",,,,,
